setor;subsetor;segmento;codigo;listagem_segmento
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;RRRP;NM             
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;CSAN;NM             
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;DMMO;
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;ENAT;NM             
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;RPMG;
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;PETR;N2
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;BRDT;NM             
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;PRIO;NM             
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;UGPA;NM             
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Equipamentos e Serviços;LUPA;NM             
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Equipamentos e Serviços;OSXB;NM             
Materiais Básicos;Mineração;Minerais Metálicos;BRAP;N1             
Materiais Básicos;Mineração;Minerais Metálicos;LTEL;MB             
Materiais Básicos;Mineração;Minerais Metálicos;LTLA;MB             
Materiais Básicos;Mineração;Minerais Metálicos;MMXM;NM             
Materiais Básicos;Mineração;Minerais Metálicos;VALE;NM             
Materiais Básicos;Siderurgia e Metalurgia;Siderurgia;FESA;N1             
Materiais Básicos;Siderurgia e Metalurgia;Siderurgia;GGBR;N1             
Materiais Básicos;Siderurgia e Metalurgia;Siderurgia;GOAU;N1             
Materiais Básicos;Siderurgia e Metalurgia;Siderurgia;CSNA;
Materiais Básicos;Siderurgia e Metalurgia;Siderurgia;USIM;N1             
Materiais Básicos;Siderurgia e Metalurgia;Artefatos de Ferro e Aço;MGEL;
Materiais Básicos;Siderurgia e Metalurgia;Artefatos de Ferro e Aço;PATI;
Materiais Básicos;Siderurgia e Metalurgia;Artefatos de Ferro e Aço;TKNO;
Materiais Básicos;Siderurgia e Metalurgia;Artefatos de Cobre;PMAM;NM             
Materiais Básicos;Químicos;Petroquímicos;BRKM;N1             
Materiais Básicos;Químicos;Petroquímicos;GPCP;
Materiais Básicos;Químicos;Fertilizantes e Defensivos;FHER;NM             
Materiais Básicos;Químicos;Fertilizantes e Defensivos;NUTR;MA             
Materiais Básicos;Químicos;Químicos Diversos;CRPG;
Materiais Básicos;Químicos;Químicos Diversos;UNIP;
Materiais Básicos;Madeira e Papel;Madeira;DTEX;NM             
Materiais Básicos;Madeira e Papel;Madeira;EUCA;N1             
Materiais Básicos;Madeira e Papel;Papel e Celulose;RANI;
Materiais Básicos;Madeira e Papel;Papel e Celulose;KLBN;N2
